uid,rule,problem_id
ma:0002ddd4d9e04552a6ddca461e573810,FIFO,pb:bcfbfb3fa92d4604862a0da3da7638e0
ma:000da5952b344c2bb7d6b2a6a11723f0,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:010442ba975541778a8890ee49bc2975,FIFO,pb:8231682ab1e84ef588b516fe49089726
ma:010c4632be0a44d3829a3d739c6330ff,FIFO,pb:3a433ba9ae01473f830c8c269fe92029
ma:012a71f0be744d04b0f160bbcb2e8115,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:012f8481f974424abe48e1307e35b11d,FIFO,pb:47ce7c852cb34f7eba94705c5f213931
ma:0175c75c36e248e9b03601db7106a227,FIFO,pb:07a7f0a289e24d6dac7839b7ec864bf4
ma:01da536ac62a4bb5b56d7e251f24c738,FIFO,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
ma:02245e1b26c14dcd86dd72af66a8fc37,FIFO,pb:4880a397240847a9801e5529c5615429
ma:0310fc93b6cd476fb9479bb482e6406e,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:03fd1b52b75e4d119ffe63676ff9dbcf,FIFO,pb:fddd52252d0640518b6894d8296375e8
ma:05348253aa6c4c118d3cc190fdbe234b,FIFO,pb:8231682ab1e84ef588b516fe49089726
ma:0750b325a8604dfe9533ba2c85037bee,FIFO,pb:97fbd93bdf6f4ad28800fbe1a84a87d6
ma:088cbdad52cb419e9a64f932cd7d3b38,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:08fbed035ad741c6896f2fe1e1ca1a87,FIFO,pb:f08c58f6dce0415b8077905c30d2e664
ma:095157abd0f9486a83a65c45b46175e3,FIFO,pb:9cca31dd55b347499aa60349a8c4793b
ma:09745feb49ed4cae8b6812e1ffa3dd4a,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:09c924e2c6ed4465b4b9fc3ddea9ecf3,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:09d46ac5f46c4262ba6c9c990a855f5c,FIFO,pb:3a433ba9ae01473f830c8c269fe92029
ma:0a509c7f8fb74d31b5aeb2f9efa89a3f,FIFO,pb:5c57c48685b042e98c02a7741a11c5e9
ma:0b135b44f973475cb16eec2167c41e5b,FIFO,pb:4880a397240847a9801e5529c5615429
ma:0b27de174a2d44eb99c0c90e9d6d3bc1,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:0b5fe0a8780b471c9360c3b7dd97fb33,FIFO,pb:78399d3059ff43c5be8cfd63e68d9bd7
ma:0b8d06f2b514413989943b2aaccc4e70,FIFO,pb:b01f562a231e4b53af5c6b415288d18e
ma:0c9a831e462147219a7e112ca389be14,FIFO,pb:2ffc42249ea242a399b00763437eea4e
ma:0e050e4211f644949cabd88fa5986898,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:0e4c1fc94210446aa1faac77683b2376,FIFO,pb:f3ba004856044e53a3692c75eb1cf69b
ma:0ea56a96841b4b87a02559c69b8bf10e,FIFO,pb:b01f562a231e4b53af5c6b415288d18e
ma:0f5dd11026c148fa9be01e3d4dc555a3,FIFO,pb:8231682ab1e84ef588b516fe49089726
ma:10aee3a07f0e4178b2f2b138c5ebf2af,FIFO,pb:0bcaf28192774a0891c340e0e086b905
ma:10baf856ded64d2caad8eefc9211187c,FIFO,pb:4880a397240847a9801e5529c5615429
ma:12889d44c421470191b0caa0da93845b,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:12cb8e3fde7044309ce174c774d02057,FIFO,pb:5c57c48685b042e98c02a7741a11c5e9
ma:12e9d244e1c6442984fa67eb83d864b5,FIFO,pb:a654116c4b794d3e96d4562ad37fc4e5
ma:1334a58246704e94a158dcd91633669e,FIFO,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
ma:13361c1295cb4c55b1f6bd0ac573ab2e,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:1357a0c6fdeb4628a32fc88fbfed3fba,FIFO,pb:879e912d6e1f47f79e2771912e764a2a
ma:13813dbf4f374b69899986d2a7acd821,FIFO,pb:bbcb690333b44a109272c42532f4e08b
ma:13a8d4ad618b4efaaaee14f10d08c524,FIFO,pb:9cca31dd55b347499aa60349a8c4793b
ma:154c15e5cd58425abb89afc05e936d80,FIFO,pb:f3ba004856044e53a3692c75eb1cf69b
ma:15855708e3ca4a7e9aba7040c6c43ceb,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:17986d9264e844e3adb9fcfa94f2bd21,FIFO,pb:3a433ba9ae01473f830c8c269fe92029
ma:17ecc8a858644265ab6379e0796d5cbc,FIFO,pb:0bcaf28192774a0891c340e0e086b905
ma:17fe7781a1f94397a122774da99d9ee6,FIFO,pb:8231682ab1e84ef588b516fe49089726
ma:184a20930f90457e98bac3ef6d2fc80d,FIFO,pb:ed3ea9608ca74bb69f2536898bd31427
ma:18830a1b927e4f6f9fc0979ebc524601,FIFO,pb:8c3ac989ffc7440f9d08d7fdc24619ca
ma:18b9dd2eb19c47bdae2f0c742bb97d38,FIFO,pb:f08c58f6dce0415b8077905c30d2e664
ma:18f3222eb6014486aa6ad6882031f808,FIFO,pb:33376eb0e3f14caa852f8df298d9ab61
ma:19ad922ddf5e4b06b3495035f6e2a617,FIFO,pb:11e12b004dba4446bc326ae424a8c416
ma:1a7ec5456b754591b4ea5fcd817750c8,FIFO,pb:0881dff973a949e3a22fff6845768b30
ma:1acd146ad282479b85ee0a93a8b3ff41,FIFO,pb:07a7f0a289e24d6dac7839b7ec864bf4
ma:1c214d1b8e214549a55495475009f8ae,FIFO,pb:47ce7c852cb34f7eba94705c5f213931
ma:1c5c2a0cf2ac4845a6b2dc1d65069195,FIFO,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
ma:1c647b1d29ee42db95aec8f5f26e54cd,FIFO,pb:0bcaf28192774a0891c340e0e086b905
ma:1d084bd8981348bb90451f5c9f7e25cd,FIFO,pb:b3aa7145d2fa4299800880d2ca9e54d4
ma:1da434e850db49ce8cd54b572f4e8a66,FIFO,pb:5d63b1fb18344fb7a9c1ed18a4613a36
ma:1ddb94d5087d40b6b461e304e1707a3e,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:1e34aec44799459bb629367ef3287f55,FIFO,pb:a67413b2f94a40d095ac97a7e6afcc2f
ma:1e4504faf1394260a9e83fcb18cd7724,FIFO,pb:2ffc42249ea242a399b00763437eea4e
ma:1e7ae66985894ebc8f691735bf5700ee,FIFO,pb:4880a397240847a9801e5529c5615429
ma:1fc9478084e045398c218185f3e0b438,FIFO,pb:b01f562a231e4b53af5c6b415288d18e
ma:20af1852e95843aa8a99d0b4ef83f245,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:213ed638e7d0450a9984f7461f035ca6,FIFO,pb:78399d3059ff43c5be8cfd63e68d9bd7
ma:21a6adabc699470d8b7d35eb921965da,FIFO,pb:0bcaf28192774a0891c340e0e086b905
ma:21dfa5276c7f4fea9115af44e9c7e44d,FIFO,pb:8231682ab1e84ef588b516fe49089726
ma:231ef971c0e64375a478e50ceabc005e,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:23850bf4ec3a4e17b10d00ee65f8fb83,FIFO,pb:bcfbfb3fa92d4604862a0da3da7638e0
ma:23eb52a2a271484eb2442ded82462658,FIFO,pb:90f25203994641d39016e3cc20bc0a37
ma:248f1a9477854a399c0ada589c38e2bb,FIFO,pb:0881dff973a949e3a22fff6845768b30
ma:251dcea79fb440bda6f35af2f0cc49de,FIFO,pb:9cca31dd55b347499aa60349a8c4793b
ma:25f41bfa9d264e469c8f1a7ebbf78b3c,FIFO,pb:2ffc42249ea242a399b00763437eea4e
ma:2633c1a1c40a4ba2a8122c578fca532a,FIFO,pb:5c57c48685b042e98c02a7741a11c5e9
ma:266d0b3de5e241d48340326bd6298414,FIFO,pb:3c9913b1d28a47cdb99766fa5c27d863
ma:27f3be8522ed422689d180d8c6ed0e85,FIFO,pb:fddd52252d0640518b6894d8296375e8
ma:286cb09b2da24daca2551673c551c1a1,FIFO,pb:3a433ba9ae01473f830c8c269fe92029
ma:289fda55d1584752bd95cf1ffd40edb6,FIFO,pb:5d63b1fb18344fb7a9c1ed18a4613a36
ma:290e570a9abc4f32b1680feb4ab10cb0,FIFO,pb:4880a397240847a9801e5529c5615429
ma:29258f1452da4fde94a6564992d35674,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:29c8beadaa80468c89f38c852514e7db,FIFO,pb:90f25203994641d39016e3cc20bc0a37
ma:2a0d9da8684d42419c57e04ac3a2a029,FIFO,pb:90f25203994641d39016e3cc20bc0a37
ma:2a9316081cd54408934e9d03950d11ba,FIFO,pb:5d63b1fb18344fb7a9c1ed18a4613a36
ma:2b5011a62b3e448bb85371394a80bae2,FIFO,pb:bcfbfb3fa92d4604862a0da3da7638e0
ma:2c1bc640b2284a73aa47116ff69c7f21,FIFO,pb:185806bd2e7e4f0caf8d33460ad2c62b
ma:2ce3d79bab254b388fff0fd96212b88a,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:2dda42627a9b4099a462a1c7fb54c954,FIFO,pb:0a5a9dcce87e4e508b390d1c7aa93edf
ma:2e2fa334697a4268bd5e73ef427c0016,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:2fa1883e40234e2b855ae3ade30232d1,FIFO,pb:bcfbfb3fa92d4604862a0da3da7638e0
ma:300003ce34d64b6fbc57e5aa3f2bea68,FIFO,pb:013b6da1481b4160a1a6e5d27a80df8d
ma:300e8202ac69455ea717e3c0ce1fc0e9,FIFO,pb:47ce7c852cb34f7eba94705c5f213931
