uid,start_time,end_time,ressource_id
ts:00075e658e6a43659445c29815185005,98.0,101.0,ma:ae86125954cc41d5a0ba258f6086263d
ts:000ea89d516843b6b078d432d8d609c3,97.0,99.0,mr:5c43d42033ba49a89b11a566cc6f867d
ts:0014a6a1c9f543efb8e5e502c1e58bfb,145.0,168.0,mr:fc02f4c32a7e48e29d2e13cb9d737d1d
ts:001926c9a76c4e4197b26bacc07acb76,122.0,125.0,ma:c2abc5a85a29480a9520c3d89b350069
ts:001fe9db74ba47abb094912e30a16dc7,97.0,99.0,mr:546ceb317bbe44b0bfb74fe1c608708d
ts:0020f0a5e6c240b79b7994bd40863fd3,0.0,5.0,ma:e464694ba8bd466fabf02b428641df00
ts:003b006d2dfb40659fb14a29a8847be3,25.0,27.0,mr:443d2fcba5c44a0eb43c2ab2af3f5439
ts:00474ca6ea8d41febfe21ecbe858dcec,73.0,75.0,mr:fc02f4c32a7e48e29d2e13cb9d737d1d
ts:004ec69513514269984ae93585b60ee9,25.0,27.0,mr:7031b158a13848e095865f40d37f3121
ts:006fb3c8106c4ac0b8a8e821e0e44448,50.0,53.0,ma:6aac64891d0544d2bcbbf780ef5d0667
ts:00734605953443369a209c1131c66fb2,146.0,168.0,ma:b0ea3657c61148a580ef20f21b9cb36e
ts:0074b35e21f24439a55eff73c0a1e5e1,25.0,27.0,mr:cc29bbaf796f49559872042900b0c633
ts:00826c94148e4ffabc49bfab0209f461,50.0,53.0,ma:fbae10c022e24365a2342720876cda7c
ts:0089824f69ae4c78a2c48acc53555959,73.0,75.0,mr:aa084fa62ff74d96af56057a79dbf8a8
ts:009322758b0d4fe2ab298adf9f24ee7e,26.0,29.0,ma:6efc756abdd245c88ab439276428d0d3
ts:0093ab89699d4f87b4e079927dc928ad,26.0,29.0,ma:35bb8cfa3cc640c6852f81b4b80ef2d6
ts:00989c7b4c0b4f1d95f47dfbc149f351,26.0,29.0,ma:8456ab1a4ec1495a9ac083c981ee4e43
ts:00c0e2f98dfb416db8a1dd00c77fe175,25.0,27.0,mr:065096f44d254166b74d26d76fb77ab8
ts:00e23569899a4de5a6f5870c4945f18c,121.0,123.0,mr:c16354599b25442ab21761d34cf51df7
ts:00e286fd33b44360a21133e64c8103a5,145.0,168.0,mr:ba79d6d9273541eab5155b61e24699df
ts:00e95f72ef394f868f47594a18861dbd,145.0,168.0,mr:deb7418f42af44c1b08d854e9f73a6e2
ts:00ec97bea21d4189adc3409ab8d357e7,97.0,99.0,mr:c4718b197c59464fab324c2c947bc9f7
ts:0102fe9b857f420bb46fde10839a3f52,73.0,75.0,mr:febc1465e89049cab10efcfbbbcd5e95
ts:0106a35c31874654867e1c908bd8cb03,50.0,53.0,ma:5262dcc4fca04029ade4961f3b766bdd
ts:010b4d2f20f340eaacfe00e2d1428013,50.0,53.0,ma:290e570a9abc4f32b1680feb4ab10cb0
ts:011af9685cbd48f8b6a4cb2d2f278ee5,26.0,29.0,ma:d6fe9dfc04ae463d9f752a49bb4c6735
ts:012039a8716a4c3aa44722d253cde5c8,49.0,51.0,mr:e7c529c6effb48669b3aee0c0663cf89
ts:0125814de8b6446b89cc269f270179e5,73.0,75.0,mr:acdd59a6ccbe44a5b7059c865b9b0024
ts:012f76ad1fb3416aab8d305f199aec78,121.0,123.0,mr:02f2fb7f2c8542bfaa0e294b47050349
ts:01318188128845af8689b4d6546ca827,0.0,3.0,mr:31fa05e19f014436ae89be4679b309bf
ts:014716dc2cdc4eaf960ad9117ba4deaf,97.0,99.0,mr:e01479f31b95498cb4f454690f39d4b3
ts:0151c9bb6c3345f69f725f7c2773a386,122.0,125.0,ma:e464694ba8bd466fabf02b428641df00
ts:0154f4ba5bcb4103a2219354fc869d50,74.0,77.0,ma:98997a3422bd4fdca9c6b945a8289471
ts:01582dbccbbb4582b8ef18afe05970eb,50.0,53.0,ma:154c15e5cd58425abb89afc05e936d80
ts:015d1737ef324beab629b5e34a040327,98.0,101.0,ma:1a7ec5456b754591b4ea5fcd817750c8
ts:016129a50e214ef6861e0a5e0cfd88d1,98.0,101.0,ma:05348253aa6c4c118d3cc190fdbe234b
ts:016219f047704fe4aaad4cd4d2384f4a,145.0,168.0,mr:4b27d47ac1e14903a50ac029bf93c25f
ts:0162b0e92e2b464e937c9cdcf3078a05,25.0,27.0,mr:ed402926ba0b40bc883efc5f3dd4793b
ts:0169838b158240fda17df0d273332aef,50.0,53.0,ma:932a74ac0bc44c55be7e7c4af9aec719
ts:0179c9ee055445d1817ca5c0a600966e,26.0,29.0,ma:51f3eec8c3254433aaeac4572e91e15e
ts:0180e86d86364f8e91481a484a9fe547,73.0,75.0,mr:4ddf6692ec51435480d3d9f1f4e716d7
ts:0187b6235d634d7dbe17bb07e9ffabc0,145.0,168.0,mr:2f83d6dea7fa4239b694a1c473ec9607
ts:0194a431274f4354a6f5a805d4e60ea9,26.0,29.0,ma:e4abfeb7e470467ab81354593f60180c
ts:01956f31092a4fecbaa17ed694bfc668,49.0,51.0,mr:1567b922b5f04f7dbaa44db63c1908f1
ts:01a5e25a2c05424ca015034b66d1674a,73.0,75.0,mr:00ddafdb00c44204bebbc450b4d50b12
ts:01b35ab279df4765a4e9ec2ffec6b5fd,74.0,77.0,ma:5900c2e2e16d49f79a7c99d0d8bd0e8a
