uid,name,redundant,machine_id,competency_id
fn:0035f94dd46847c1b2a95002d382655d,F1,False,ma:654211ac9e004f0ca25a03e23300a807,comp:f214625183e54eda8c254561ef2a9b82
fn:004300a7d3d64edca2cfbcaf48a8143a,f2,False,,
fn:0060de92d82c49d08406f57f8f15bc6e,f1,False,,
fn:0090dc90a76c447b9f36639ae3c5cffa,f2,False,,
fn:00b55551230f40cbbe87674a1c1712b9,f1,False,,
fn:00b8ec6a195946f2aaf4dd29f9eab4be,F1,False,ma:e1f69d80986f4027a162b5b527c380c0,comp:b430cab526f54d598b1568879612f022
fn:00c6ff08bdfa497cb845a6881e60390f,f2,False,,
fn:00ec1945970a47938082e72bfd736b79,f2,False,,
fn:011ff77f0b804c06894b35b1615e480e,f1,False,,
fn:0130078157dc431b97f448662efea2ac,f2,False,,
fn:0140080ae3034b72b2c7531258bc5e4f,F1,False,ma:3c0662c13c9a4ed19cbd65e14a8f399e,comp:fe5e1767c770472b92d243c7e3ed4d82
fn:01443d2d181b41d6bd1aeb5c67b6042a,f1,False,,
fn:015f0b38658c45a4ae10e31f25902939,F1,False,ma:6b9a83a33d8f4dfe8de2267f59647cb1,comp:c7d53119cf2b47b8b7454798cea9165a
fn:01b783318dd14c55bc5033a71e09ede3,F1,False,ma:1334a58246704e94a158dcd91633669e,comp:96bf26a86a8f4a72ac57b2731e868c7d
fn:01ba7ec345f94d91841f47df18431a9e,f1,False,,
fn:01c0912f052f427da032fcd9b81d79c5,f1,False,,
fn:01e5895ac16a4480921aa8778e5aa995,f2,False,,
fn:01f757eb21114ee4b3ee9ac88db26c43,f2,False,,
fn:020d45afa01649008b3de9dcf0f34717,f1,False,,
fn:020f7f8e6fac4990b59ff500cacabb4e,F1,False,ma:d65e3779e7f1474282da281247ee0ed8,comp:2d618073cd9c4cf080583cb5d72edbe0
fn:023f7b57fff944ef961d02f3af4854a1,F1,False,ma:c2abc5a85a29480a9520c3d89b350069,comp:7f5c1ffcd5624b4db0ddf6b1a8f8a091
fn:02d2cda1d4af43a08308bdc91507e20c,f1,False,,
fn:0303733035d6426684262895a5770029,f2,False,,
fn:031c8ac165c24d319a1527ea01a73ad9,f2,False,,
fn:03563d5544b242b48cb236c1f0601633,f1,False,,
fn:03701a9da83f44a0b032908e919bc9e8,f1,False,,
fn:03b327cc093a4b7f984677cb26e2a340,F1,False,ma:4f1dc81690dc408fab056e1a1a6733bb,comp:253572287cc748f0a02ca5efee724228
fn:03ebd9ffbbd740ab85725b63cb7fb7a9,f2,False,,
fn:0445cfaeacd84e3c839080b5eb284867,f2,False,,
fn:045c154b0d844498b6838945d8fcb2ba,f2,False,,
fn:045d6d6ed06c4e9782c01325ec44344c,f2,False,,
fn:047711ce488f4f0abc9a1ff9b528db68,f1,False,,
fn:048ad7ff01b8407eb7c8a54ef9781ec9,f1,False,,
fn:04a471f8e5ff4112afd9a4f5358335ca,F1,False,ma:da46869031b8435f835a5423d77fdf41,comp:7add7d7cd15344d69e2e9ca68ab8fb95
fn:04cd52849374401785db45707c17d1f6,f2,False,,
fn:05181a8eda8a4b949c0be5be2f6ab874,f1,False,,
fn:05278fe7d9dc4b0aad95654b5ce900d1,f2,False,,
fn:05572ae3fc5d462d8e9c067f007be587,f2,False,,
fn:0570f0f163e143d0bf69036821377a36,f1,False,,
fn:05772c4e3ee840c5991dcbec8ea15441,f2,False,,
fn:05934042f06446d5ac7d16b1c85af915,f1,False,,
fn:05cde91a964143f08ed0336405641b65,F1,False,ma:7dc87375cc5243da8ab4a7b781f95998,comp:611416c4675f4a4a89f6b0f55d221b74
fn:05f0ac5e62a145cea83673e0f0172abc,F1,False,ma:cb0de95be39f4cbdbcd8849a320244ab,comp:23256f4dc03b44dd91cd2a95155a14f4
fn:06549411abaf48f4b7d165015680ed96,f2,False,,
fn:0659c319ee224a0baf31bf016c469710,F1,False,ma:62b1b7589dd54f2699062fee58b3357d,comp:1f1613357d6f464a90e899270eb5bce8
fn:065df54c01974b04bb4521be1a066c34,f2,False,,
fn:0673bf1762554852a198b39ab5a90c6c,f2,False,,
fn:072e85e94b044cd9a7b7f9a2894b2478,f1,False,,
fn:07a7a0bc5e3a457aa02f85827e57c424,F1,False,ma:674de8d008b949d6b4e9b297e35fc119,comp:468351445f36414faf4d4a8428350450
fn:07c6645e9f774a2c9a2af3fc73b316ff,F1,False,ma:7d627d1d39e74e5fb095f5842d1028d1,comp:5344c909979d40c5b237d067ff52c09c
fn:07c962700f994b59b2ff52607325c8d4,f1,False,,
fn:07f2747d37224d13949de3eaa9048509,F1,False,ma:f710de23efd041ed9ae4b2f33d65752d,comp:59ffadcf9e7543b687b85da04e1e0a2b
fn:080dac176d534ec9b94b292a11201e10,f2,False,,
fn:0831f7e2262a4271971a65d4e893bc1a,f1,False,,
fn:08320e5c4407416cac912026d69bac76,F1,False,ma:8d041d4a64c54d278dd858621f929f7c,comp:9c18104d7af14bcba6af7cf9da8fdf50
fn:08384e1057cb480198c520645d57212d,f1,False,,
fn:0847ca6e6c304e8dbed4aaa8f4d078c0,f1,False,,
fn:0859af01fac44cf4b9a5d7a84c3e2182,f1,False,,
fn:088d519f1053471691130ab9f06e9a33,f2,False,,
fn:08c67dccac3346b59c4b5d67ac6e99a4,f1,False,,
fn:08e8ef530ae64e40b4258e521f1d148b,f2,False,,
fn:090acfafa5054372b624730cca67ab8b,F1,False,ma:c62de67bd26c4393a59f1b30abca40a7,comp:e868501639214b2286dc7b029b3389f7
fn:093e8980c3024abd85cd0e5eb9a4886f,F1,False,ma:d8e3cd37f77140b790c0dde1454cdc44,comp:8a0a531c5a2e4d1e8bca19625ee075c7
fn:096a7ef79a3b4d78abbc5f47c5ca2bcc,F1,False,ma:8d3bd605435d424690991fb042c71fd1,comp:1fd02d916f9a4fda96a8fe04fcc448aa
fn:097e3e09e66f4fa5af8a34adb86a03c7,F1,False,ma:c73b2d04843a4fdc84e85c1ab27d8652,comp:4c9b84fb9b8348be984859010197a50c
fn:098f3ef74a4142b990a1e4f6ed07da70,f2,False,,
fn:0a1324141378426ca8425fa8f9db36b7,F1,False,ma:e42a711cbb8d4692a7a17b86dd8ee469,comp:f40528f30e034f359b22550a025fe217
fn:0a45e1556a6f42e3a1090c7c6af2717f,F1,False,ma:e373a1b16ef749d1aa64c4e3268b5e76,comp:565b45005cfe443487771267692ccf96
fn:0b5bd099b34340ec9f93e97d8e109e22,f2,False,,
fn:0b7ada150c9e43c48358af01610aa123,F1,False,ma:10baf856ded64d2caad8eefc9211187c,comp:f615551181894c23ba3db76eea865957
fn:0b858ebdc28247be9a1a816aed15572a,f1,False,,
fn:0ba22bf558c0495f840d520a6c3e14ff,f1,False,,
fn:0bd1ddf192a1411f80269893d0160052,f1,False,,
fn:0bdeb674f5a9432d808b97b8c64c0f6f,f2,False,,
fn:0c8204b43a5d4a1bac0852c3b6332b12,f2,False,,
fn:0c890c7788ff41dea58b8b15a2def210,F1,False,ma:a52c4f5cee14475faecad5ce812ecb1a,comp:693a4213224048a6b02aa882dbf41d74
fn:0cb1ba5323fa460aad823df5baaf7050,f2,False,,
fn:0ce2d51034ec485092d3e2d1044f8642,F1,False,ma:fa9589317b0c42af99afbde19794e825,comp:d74dce5a56cd48d9bc51e6067a8594fd
fn:0d161254bb984fbebe30d53979bc6dfa,f1,False,,
fn:0d576b12b29d4329ab952f3d32a1f05f,F1,False,ma:4b7d9f4d6e4d4be6bc2ba7f729993cc6,comp:129d1ab403a54835836dd85140b36453
fn:0d6f07b38e2549b493b497b44bc57ecd,F1,False,ma:840d0f05f85544749433818d3dd6f910,comp:a5eece0524b84d76bfdf53af00e44d12
fn:0d7569d84e654b839806c8daf8b796e2,f2,False,,
fn:0d956ec6d2314e6581e9a654e59a7619,f2,False,,
fn:0dc580b459f34d25bd5ed2196da95d76,f1,False,,
fn:0e2f3c344e6e4bef8790366d1b6c1512,f1,False,,
fn:0ea661fe46144e4db945c4c1b48b7609,f2,False,,
fn:0ebb09c47b2141bdae4f45e6608392ac,f1,False,,
fn:0f041433d5c64ad9ab5d01b81d97e6fb,f1,False,,
fn:0f610fa02b164e3b88b22e4bd2e9cb5a,f1,False,,
fn:0fbb5b2d92644d1c9c8a667dcd8b4068,f1,False,,
fn:0fd10347372c4ac68d681a113f78fb22,F1,False,ma:3060af70894141b8b9873ba74ab94677,comp:acbe0c623a5b4717ae17c49c73e3f3a1
fn:10119e12a93943ea8de359d803a8ccb1,f1,False,,
fn:1013876e12064d3cbed3ef29b266ba76,F1,False,ma:0002ddd4d9e04552a6ddca461e573810,comp:4da95356a09848b1be77f3a03b171e77
fn:10147d7e060847928a0d0960546e3d1e,F1,False,ma:154c15e5cd58425abb89afc05e936d80,comp:76f0200975fc490aa8c637c723cbb2b9
fn:10c65972c08e40ca86328e0b2c27fb80,F1,False,ma:60e5442c41864c6992db490779248de7,comp:a6208fc1a29b41e384f484b28dc93b8f
fn:10e68b7db282491cad08900450d94c9b,f2,False,,
fn:10e95de66730458fa884012a25cc65fe,f2,False,,
fn:1121af85122640a6b8fead9cebb6a057,F1,False,ma:1da434e850db49ce8cd54b572f4e8a66,comp:789f81e8ec294750aab93d23bdb7c571
fn:1162cf3ba1a74062b38e17bb6250537c,f1,False,,
fn:119ee0dcb7004175be30b9a511345028,f1,False,,
fn:11c956b09f7d40f1bf8b260e272bf9c0,f2,False,,
fn:11ce187bc98d465581cf17c8c9433738,F1,False,ma:c425c790ad254596a778e60a0711722f,comp:c634005e9a9a4495a7f3d4b619212467
fn:11e7754cc32b489f9adb3e0f2d2b9088,f1,False,,
fn:1226943029bd493d9453f371151479ee,F1,False,ma:a33de5fccabe4d0d82ad2bda91910e3e,comp:0f1f5e5b77ca4067a9f6efafa5fc5996
fn:12722833eb8741f98cafd41e1165e5a7,f1,False,,
fn:12b113b2778144cb9bde6b74becdded5,F1,False,ma:de7d120ca22a496aa41ca0ddec32ce16,comp:8846309f83534a8cae4f3fd28c6344a4
fn:12bc23ee37a54c30901cdb44d5484540,F1,False,ma:3c99a03c3b374c84bf62c2ad6dfdc6dd,comp:e2b8ff2e67b5470fa2808e0fe705b88d
fn:12d8b7b212dc443bb37af6ed3433be03,f2,False,,
fn:12ff757096ce41eda8cd1e10142dd2d2,f1,False,,
fn:132aeda5f6004649a980be405739e389,f2,False,,
fn:1367da12904f4df69c9ea37920590e69,f1,False,,
fn:1393ea5ee43b47f2ae7aef360ae1a690,f2,False,,
fn:13afc16d1925420b8d02d44e14086751,f1,False,,
fn:13f3d42f7fb34bd79564d375b08f7f81,F1,False,ma:5262dcc4fca04029ade4961f3b766bdd,comp:eb66c6f52b564672aeb7168ff470f916
fn:140dbf51a6a745fab40a5699248e5809,F1,False,ma:c15969b6567e4d9fa5e4f16b9f70a7a4,comp:7377ba6317a94058932c801ef671b11b
fn:146a10e2836547f588ace5e38abf2801,f1,False,,
fn:1474cccf0a0548b1877a4e51496f9a4c,f1,False,,
fn:14835d0110c847d08f57fda47e371142,F1,False,ma:ba735d6472294341ad0bfcb1456f176b,comp:73e32819440d4765902604ce2248ef27
fn:149fd4576926459e9c000624a5dcd746,F1,False,ma:4b0f5171c7f6439381529c3f107fa489,comp:9e378eb27fc94e138f58c7cf925f4912
fn:14fea956c8764d17bb5e89fef0d8dca3,f1,False,,
fn:154ba6a6064d401ab7e5f945d052849d,f2,False,,
fn:1586b83a10d74821b1c93c9a321eb925,F1,False,ma:0175c75c36e248e9b03601db7106a227,comp:b0bef4bcc4a84dfeb2d83a3e51fc4c7a
