uid,problem_id
mr:0d9c34680d9a461fb5016d44920e8903,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:0dd34e1bf39a462bb36d8974475ce318,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:1a278aa9a3de4c1baa17a26e19b3d892,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:1e55893133c34f91b83e27ba180dbfd6,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:2827d5923d90467eaf98470c7de2cf02,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:29f50cd231c94f99ac6c4c345997bd4a,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:36376c1768e241cbb66ab482ec45eed0,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:3f1cadd9329e44ad8c44e8566a734f70,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:5a879499b9b74857a43bc6e110cb52dc,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:691cb2560a174fcfa10e677e8fc218d4,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:72c409191aaf47aea7a6e1d19acb57ff,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:7a18d8b3c10543798aec575661eb368b,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:8e1f906a6a7c424692516bdcd6223256,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:91144278f2c1408bb9f09e55c72c2ee8,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:acdd59a6ccbe44a5b7059c865b9b0024,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:affc8269274a4b08bba9422ea20002cd,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:c1ae461663ea4696b3633ef7c90a60bc,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:c87c75417e894306a3f4274e2326c5f0,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:d0a7fe05372446568bb19d58fb499e2e,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:e43f7fa051ab4a14b5cf23113a7e0c46,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:eb3e72bdf8924a618983213d65491e1f,pb:013b6da1481b4160a1a6e5d27a80df8d
mr:141bc99592284262b4fc88b58ea1572e,pb:07a7f0a289e24d6dac7839b7ec864bf4
mr:73d866fdb62747f6ac0ed20f76784d51,pb:07a7f0a289e24d6dac7839b7ec864bf4
mr:aed79952cbc34f41965c93e526bf8e72,pb:07a7f0a289e24d6dac7839b7ec864bf4
mr:b526436fedb24829b9ab960262586424,pb:07a7f0a289e24d6dac7839b7ec864bf4
mr:2e888a5cacd34916926654d413e23f1a,pb:0881dff973a949e3a22fff6845768b30
mr:448d76a3c382453ab19fcaa5050bb1e2,pb:0881dff973a949e3a22fff6845768b30
mr:953671b2d3304dd49edc64aa47522be5,pb:0881dff973a949e3a22fff6845768b30
mr:af05c274ab8949f5a76eba1cce35dadf,pb:0881dff973a949e3a22fff6845768b30
mr:29c7b2fb4544440abd13ce3776c6dd28,pb:0a5a9dcce87e4e508b390d1c7aa93edf
mr:bdf1f2c2deb347039870f73c2f2eac72,pb:0a5a9dcce87e4e508b390d1c7aa93edf
mr:d0c6e3ec2876450a8a548a9a9c5f492a,pb:0a5a9dcce87e4e508b390d1c7aa93edf
mr:dc3d885226d544179ffc203c21c83f73,pb:0a5a9dcce87e4e508b390d1c7aa93edf
mr:0038b38e023a4f7d868df84d05434ba5,pb:0bcaf28192774a0891c340e0e086b905
mr:0b0d68ec111d4e8bbf19daa123e40308,pb:0bcaf28192774a0891c340e0e086b905
mr:26bfa4998ffd45e99c2036350c625965,pb:0bcaf28192774a0891c340e0e086b905
mr:2a1d9013d9de4ecf83379342aac5a1d6,pb:0bcaf28192774a0891c340e0e086b905
mr:3107e07e53ff4b5fb1bb15839aac2ee8,pb:0bcaf28192774a0891c340e0e086b905
mr:3419632e1241425ba9e7acb2d15cf195,pb:0bcaf28192774a0891c340e0e086b905
mr:3c4e79f225f64b1ba8164fe7a32d7629,pb:0bcaf28192774a0891c340e0e086b905
mr:3f5edf30ae2c41b8b931004222e16533,pb:0bcaf28192774a0891c340e0e086b905
mr:49f89978483141789d4d2aba468b46af,pb:0bcaf28192774a0891c340e0e086b905
mr:4b27d47ac1e14903a50ac029bf93c25f,pb:0bcaf28192774a0891c340e0e086b905
mr:56e8101765074d7da04ccf5d69de98fb,pb:0bcaf28192774a0891c340e0e086b905
mr:649edcf9b949443facfd1819b292dbae,pb:0bcaf28192774a0891c340e0e086b905
mr:8d59eb537745414db220ebd2c214a70b,pb:0bcaf28192774a0891c340e0e086b905
mr:936f1b00fcf0411aaf1dc22729e97b8c,pb:0bcaf28192774a0891c340e0e086b905
mr:9e2e8a6aad534a1aaa7128c8cb751308,pb:0bcaf28192774a0891c340e0e086b905
mr:a9ee0984e4584acd86bc2c3a7c45105e,pb:0bcaf28192774a0891c340e0e086b905
mr:bf5417ca46c9441d87d13a07beb2c3cd,pb:0bcaf28192774a0891c340e0e086b905
mr:d145e36d52ae426ca970e60b71c4fd22,pb:0bcaf28192774a0891c340e0e086b905
mr:d33bf0ff72db48af894a86666d44f4b5,pb:0bcaf28192774a0891c340e0e086b905
mr:eed0a76600e349b0a2a8b574c2c57d6e,pb:0bcaf28192774a0891c340e0e086b905
mr:f47e581bc6284eae8d2c4cef87a4678f,pb:0bcaf28192774a0891c340e0e086b905
mr:2c6848a519924548b6c9dce472807a12,pb:11e12b004dba4446bc326ae424a8c416
mr:5121de41eda84ba7bf1eaf58546c4ae0,pb:11e12b004dba4446bc326ae424a8c416
mr:63e681524934458db2cdf6eafe0e971a,pb:11e12b004dba4446bc326ae424a8c416
mr:a57c6065fa05491796132e4e1024cf0c,pb:11e12b004dba4446bc326ae424a8c416
mr:471ce6310e3e4f098ef6b2dba3dc142e,pb:176e6ec1a4d542d6a22fe3e8cfaac50f
mr:7f711a76ad6a4908ba554722b2a3da36,pb:176e6ec1a4d542d6a22fe3e8cfaac50f
mr:d352dea767d44f5d9122217a82be6da6,pb:176e6ec1a4d542d6a22fe3e8cfaac50f
mr:deb7418f42af44c1b08d854e9f73a6e2,pb:176e6ec1a4d542d6a22fe3e8cfaac50f
mr:3d288f5a753744818c27baf6b626b354,pb:185806bd2e7e4f0caf8d33460ad2c62b
mr:662cdece40e94749af1c04f511c7318e,pb:185806bd2e7e4f0caf8d33460ad2c62b
mr:be4ac172d2f540c58b6d7659be4b569c,pb:185806bd2e7e4f0caf8d33460ad2c62b
mr:f47e66a97b65490a9c5240fce27d6b87,pb:185806bd2e7e4f0caf8d33460ad2c62b
mr:0d97378829ae4b6ba8edbe9edc12f3dc,pb:2ffc42249ea242a399b00763437eea4e
mr:14b318bd7e8143268a746f6bde9f1bf7,pb:2ffc42249ea242a399b00763437eea4e
mr:306c0b38ce8443c7ae1e4da86196fb1e,pb:2ffc42249ea242a399b00763437eea4e
mr:32d90d10ae7f41a88526af1e30089cbb,pb:2ffc42249ea242a399b00763437eea4e
mr:3e3750ad71204df693fb8b7cf43a4160,pb:2ffc42249ea242a399b00763437eea4e
mr:414dbf02714347eaa7a2c552573cb737,pb:2ffc42249ea242a399b00763437eea4e
mr:487d26ad651040a59ba7a99e97135928,pb:2ffc42249ea242a399b00763437eea4e
mr:48ff688af7654bbe8aa774bdf2443db1,pb:2ffc42249ea242a399b00763437eea4e
mr:586988c28dde47eaa7bc390f5e83cfd9,pb:2ffc42249ea242a399b00763437eea4e
mr:82e7f99373db405092c39c46cb89001c,pb:2ffc42249ea242a399b00763437eea4e
mr:85bebf51c95345008f10017cf42d1e97,pb:2ffc42249ea242a399b00763437eea4e
mr:8875675fe4354a59abb2150ae02377f5,pb:2ffc42249ea242a399b00763437eea4e
mr:a47929580b3a40ad89a8845355e60d0c,pb:2ffc42249ea242a399b00763437eea4e
mr:ab3239b2d2d64ceaaa55e8ea211e5ce3,pb:2ffc42249ea242a399b00763437eea4e
mr:c46741561349432cb1b359840fc28313,pb:2ffc42249ea242a399b00763437eea4e
mr:cfbbfd55f5f14f2eb586e200747932c5,pb:2ffc42249ea242a399b00763437eea4e
mr:e316089825f64dae93139c4301cabf32,pb:2ffc42249ea242a399b00763437eea4e
mr:e9af005b73db4d34b9c51356664588c9,pb:2ffc42249ea242a399b00763437eea4e
mr:ed3023f0b5fe4663bf5bd90d5e07902e,pb:2ffc42249ea242a399b00763437eea4e
mr:f199000e27a04c82b38be3e6b93ef679,pb:2ffc42249ea242a399b00763437eea4e
mr:ff9c3180d3d34d789c13f587e801f024,pb:2ffc42249ea242a399b00763437eea4e
mr:021025926b324878ab4190e295920620,pb:33376eb0e3f14caa852f8df298d9ab61
mr:27b8a0388e684be8aa74a3735699e0c6,pb:33376eb0e3f14caa852f8df298d9ab61
mr:4c84476965f14c6b8fee8db338a22da1,pb:33376eb0e3f14caa852f8df298d9ab61
mr:e769e9f0e2bb4f9195c6b5dc2d3d2a91,pb:33376eb0e3f14caa852f8df298d9ab61
mr:094af1b95263436eb067b2e9f17ce1bf,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:154a1a0d66b54fbda0d7dc87532d6747,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:2b0e06cd904a4cbebef154ae90ec28d3,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:2c7f8bd086cb41f7aa0d191221601934,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:2d01f48f89c1425b9370fa813266a239,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:326f999178b543a68f11fde1b2dbe017,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:3a716a5ef5ba4c15b1bb76c5e89c62fa,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:4cb65dc0824147e696505acb7b3d251d,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:59fa442f1c2344e3995f4fbf0a20e40c,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:7b5d1544f42040b1a05f520b9fcd0a46,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:8c8438d74f5540629e25c3140794bba9,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:93068a3f62334584b400e0de7a71f7c6,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:afc8ee3cbecf4c8f898ffbb5522e35a1,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:b50f633580d6477d83c1bad8d5bdda52,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:b66beb6129834b1c9d8577a476755b3f,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:babf41c65d8441f7926d37ee8de63cc6,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:c73e73a4889843059c3d38c0db996366,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:d0b2329d4c4340d4bdf98acf0e9a44d8,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:d9b22ba96f9444b3bf428d4650647b08,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:f4cde798904d453a8112500e5c2b0b4a,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:f67394bbc0554742ba28cd2e12f4bc37,pb:33cc8d5e68cd4fa3aa91c39e3c6d6d14
mr:0116dc5437ed42ec8568ff56bfeb687b,pb:3a433ba9ae01473f830c8c269fe92029
mr:18aa0484b45047c385519725373c1cbe,pb:3a433ba9ae01473f830c8c269fe92029
mr:2d83199fe12f4db5a55d8e4a5d1b6922,pb:3a433ba9ae01473f830c8c269fe92029
mr:383da3b4bfbb4a1ab6f5488aa4c94b79,pb:3a433ba9ae01473f830c8c269fe92029
mr:463f791574a24f398b21222d43b1f726,pb:3a433ba9ae01473f830c8c269fe92029
mr:546ceb317bbe44b0bfb74fe1c608708d,pb:3a433ba9ae01473f830c8c269fe92029
mr:5b43b102834c4287bd4690f851f635cc,pb:3a433ba9ae01473f830c8c269fe92029
mr:7031b158a13848e095865f40d37f3121,pb:3a433ba9ae01473f830c8c269fe92029
mr:77f6d30d768845178975a441d80b54c9,pb:3a433ba9ae01473f830c8c269fe92029
mr:9cb0b42164f64c4b8daf044880eec098,pb:3a433ba9ae01473f830c8c269fe92029
mr:abefccb0b3354650b99ef4f9f7f06af2,pb:3a433ba9ae01473f830c8c269fe92029
mr:ad36be43f66449bca6f59fa6299d8a0e,pb:3a433ba9ae01473f830c8c269fe92029
mr:af25fce56afe4d429aa63077f329e526,pb:3a433ba9ae01473f830c8c269fe92029
mr:cc29bbaf796f49559872042900b0c633,pb:3a433ba9ae01473f830c8c269fe92029
mr:ce388a0e30e148bc9e8240825d330b64,pb:3a433ba9ae01473f830c8c269fe92029
