uid,duration,routing_id
tf:000263ca1b474c9b99f73585844716d0,5.0,ro:77ed745c896440ce8dd93a9aea704bbe
tf:001768016e574fa485ac49f3617cc4c9,5.0,ro:ed3ea46f30c3433dbccdb329644be588
tf:001ce4d0d0d44103a9ce6c77a46609e4,5.0,ro:f9142c37348f4d56b562cc7b31a03cdc
tf:001e57c30d69446ba8d2249adbb24e08,5.0,ro:4280e666172b49b1a6a84e7176f9d90d
tf:00258bde520d491da42f1693bd6328e7,5.0,ro:93e26307ed034abd94d7e005a3825ea5
tf:0028cb870d1b49558b86b0d5bb71d872,5.0,ro:f293e9d659d24b6c8755b54b3eaf54aa
tf:003199afcdde41158dbcefd3eb468f61,5.0,ro:ec1ae7a65a00473f88748564c3faa9dd
tf:003d8d711ebd48af9a1138f36a732052,5.0,ro:fbc288b1d6ee41f0bd8fbae62199abb6
tf:0047d228f185440785df5edd229b57d4,5.0,ro:ef25d3811894450b8fc0fed8f01b19c7
tf:005a9204ca974e328aa85539b98b0195,5.0,ro:94f6ee038ae94edea67c5e818645b8e2
tf:0061c82f271b46ddad1b44e90ae1e890,5.0,ro:5d422451a7184a499cceed9537a356c7
tf:006a16ac82714d229b3f5aa6e6726661,5.0,ro:75a4d09c529e467eaff240139b37688b
tf:006d574f83a6465e89509919f53fec38,5.0,ro:c8457bd257ff4d358cadbaf94a5e2cc0
tf:006f7b44f6bc49f589838b3fb3147003,5.0,ro:d52e0af0741c48de8a0026e2e8c33619
tf:00702cc955a04bdb853c10ceceb39ca3,5.0,ro:f65ab9281c3f46ffa2fffe3a46901c53
tf:007aa625e5344579a00a7810500e96ee,5.0,ro:53efec22e5ed4425a91d8110af122d98
tf:00938655baaf428fa7dcd97389a9c7c2,5.0,ro:2daf9394b3394d5bb89d0a7004d87872
tf:00938cf4e6ac4c15b578af1c7ef450f8,5.0,ro:8bcad2bacb944de18be1ffd2140688b7
tf:009594bb598e444d88c4621b200f8275,5.0,ro:4ec3e3e7fc694d86b3a59f07654734e3
tf:009da236668243dfb0be9aba4b3d0085,5.0,ro:798972c43cb94af98504ea98c6570c5a
