uid,activity,capability,cost,type,ressource_id
comp:0006c4dc987c4e4e934a10f8197b0ad2,R2,1.0,0.0,maintenance_competencies,mr:7ad4a8bc91404e48b0ff6263047a7350
comp:000cc42144764629b9a174b904551111,R1,1.0,0.0,maintenance_competencies,mr:b1900a699af04a2f9d4b1ea716f66195
comp:001015d6d30c47f9ba069af10fd53969,R9,1.0,0.0,maintenance_competencies,mr:422c44f162454e8a831dff97d34f8a8f
comp:00148617006642dbb2388c64f46abd01,R3,1.0,0.0,maintenance_competencies,mr:2c0d21b8ebfd401aa5a03eef4fa3ccbe
comp:002ceaeb056945fab1544b6b3438e497,R1,1.0,0.0,maintenance_competencies,mr:a2e400f666d64cbebca5ca1fc5c4d8d7
comp:00320ce7c082476a9d0efa1cba0fb527,R1,1.0,0.0,maintenance_competencies,mr:7f81385b79f0479694f8e493ab7ed443
comp:00371ee164ee49f098d5c1a30740fb02,R8,1.0,0.0,maintenance_competencies,mr:81e3f45f967848f6bf7e3c4337cdf744
comp:003ea918f7de4b799777382a6313dd3f,soin,1.0,0.0,production_competencies,ma:a3ec53fbcdc94f379d42a5b1b90b60e5
comp:004032842da14018890b3bb03458b74a,R15,1.0,0.0,maintenance_competencies,mr:1f7042657eb045b9b8221405873c28b4
comp:0043479edee6432daced751c38dc47a8,R4,1.0,0.0,maintenance_competencies,mr:f056350fafd14427a0489024e4a63c31
comp:00479b521c0943319fc6dbeb15c7324a,R1,1.0,0.0,maintenance_competencies,mr:ac5a452a88574bd686ac6211ec2f8a2f
comp:0049df72c3054f86a8021005dbefa395,R6,1.0,0.0,maintenance_competencies,mr:871758e068fb4da3b2eb6c46d37f95e3
comp:0051259e216c475088a6b8f542986fe5,R5,1.0,0.0,maintenance_competencies,mr:359b22a874e84f7f9eb992dd9dfcf19f
comp:005b690df349453b872b4d38a0afb9d7,R1,1.0,0.0,maintenance_competencies,mr:cb115f800d9641c498458512629a5d21
comp:00625277a7dc4493bd1b8543cdc4ddcf,R10,1.0,0.0,maintenance_competencies,mr:f9d471b1be104b158938bb5afad9fd8b
comp:006c3e7e312246fb822019394c6a6189,R12,1.0,0.0,maintenance_competencies,mr:7a8b76ccb4634d1c91e136fa42679415
comp:0075891b04fe44d8a6991144b5a63cd9,R2,1.0,0.0,maintenance_competencies,mr:c0fb9fb05c6a470fabc630836cde770f
comp:0076773bdf614d0d893a1e65dee98aa5,R5,1.0,0.0,maintenance_competencies,mr:f627246d363642998938ee9748639973
comp:007827f873a94c5086942dffb18e4a30,R2,1.0,0.0,maintenance_competencies,mr:41ac707490d845bbbb214deb2c20853f
comp:008b0f58c8344b039e9935fd84f5cb7b,R13,1.0,0.0,maintenance_competencies,mr:380f1612ebf44112b753cd64585a04bc
comp:008c666ef0274f97a975aa93843cdc62,R5,1.0,0.0,maintenance_competencies,mr:fd89c112e48d42e389aedc5aff904299
comp:008da8f5094e4ec9aadd0b08ec6d3824,R14,1.0,0.0,maintenance_competencies,mr:17c4076ed0cf437199233cde434ce307
comp:008de0e94c074506a5b5424a412d68ce,R3,1.0,0.0,maintenance_competencies,mr:592c7a46b1fe4c09bd3ec38b529ad754
comp:009d6852b8064cc5b130d9e8c13b43b5,R11,1.0,0.0,maintenance_competencies,mr:6f021746fdc14fa3a55e58c87d1fe03d
comp:00a56230147f4abf9b85f3e0b02cd8e7,R13,1.0,0.0,maintenance_competencies,mr:e3b9074b8f834e239329c72d70902bde
comp:00ab29042fa34e1bb3e3ae61ce8026ac,R1,1.0,0.0,maintenance_competencies,mr:63a2eca2f4c644f0a13f42bf974e4c74
comp:00af20aef9cd4155a889cae995a4ca39,R3,1.0,0.0,maintenance_competencies,mr:a763175c537f469da25ec3893ece661f
comp:00be1ef4560042cfbf69133a9f01fc0e,R4,1.0,0.0,maintenance_competencies,mr:871758e068fb4da3b2eb6c46d37f95e3
comp:00c51d064a374771bc465197d319853d,R9,1.0,0.0,maintenance_competencies,mr:b74e740c106944ed92e66fa09e6d1290
comp:00c74df3093e4df189866652ed8310c8,R8,1.0,0.0,maintenance_competencies,mr:f6210c66db5a4e72a951e161842d526e
comp:00cec841d7a644c1b29a905e727bc92e,R13,1.0,0.0,maintenance_competencies,mr:6d78666c7675400db89b6adf53e7bfb7
