uid,order_id
ro:c1df3a7f51074d2dbd7784393abce0f1,mo:001d6a4b66de4b5db182c7be0f04f0d0
ro:0fdecc24e9504cd8a6e245cce2daf41d,mo:0026335b48e24cad8994be3cb5033e66
ro:2c7ff9db536548a3a2544a726a1fce95,mo:00338c0f248d45aeb02b1e923486984b
ro:90e80e6aa7a24c5b874158618635041c,mo:003682b1a9ed4c7d95682c86f70ec6ac
ro:ae2891ec3e974da58c605ca4e85e60b2,mo:0047b5ff9f78488ebb0b1f0d9b6addfa
ro:0be07f3b7a7e46d1a1b6ceee738ea1ef,mo:004d0fe07f134a769a3bb1ab27005fa6
ro:8b01a4f6824a408abcea888a4492ddb2,mo:0056410da86b4b9a9997303fdbcada5c
ro:ea8524bb1ea84f988e82ebe6ccf87484,mo:005c53b5d6ae477a9500bc730a0f38ff
ro:2e7ab9f06a164ff683fae811c144b569,mo:005dfc7ee8b7445a9a1675e5ddee4d04
ro:84b9d68aaaa7420ab273f2e185d4e102,mo:006458eda7f846f485ac0a600d9dbb95
ro:f42b3e4359cd4461988b2c8cec63b836,mo:0065d69126da41a388d2bcd4d390256a
ro:11474c85ad074fdaa31521a7b2b3cdbd,mo:007241c5ae074267b6e8c5491b766597
ro:750b2aff1ddc49c7ab6cadd85f755495,mo:007c040cb60c44579fddd5f372f94ae9
ro:8b60a92cb05c4cfc82f9a624c5887675,mo:00804264cfcc4a1c965f405ecdd04cd1
ro:bdb2fa377d6c4d9292cca4dcf5ea0648,mo:0080519aff794a53bdd34bae6cf338aa
ro:094b8416718f4079afa9c9fbf7f2ad1a,mo:008da73631024a8dafc3c3ecbc89cd27
ro:40ab0916f05a43339a53dd12954f4e28,mo:0090270a51aa4453afed2db4e15bd353
ro:85433a5513634c4bb3349f3295dbf92b,mo:0091fb3c16ed4713a7ced55f7de2dc19
ro:824c7e7a180d42f096f86dcb37fc21e8,mo:009f26730a53493982c448bf6e137bd4
ro:712e96be98bc40fd86f19b699aefc972,mo:00a877b61f784afab27081419e766a3d
ro:51a1dd76df2d4d588fc88e777da15697,mo:00b424ef6c864e79916ae8711145ef21
ro:ef0e045aa8df47d7b6d9e0b4efb88ced,mo:00b50ae9c23b44e59cc391371b0bab1f
ro:153bcdf8877345c39d40cbbd6b4e1614,mo:00b546c1e0c54cb986fd00edde546552
ro:037180af39aa4333bd8f4d9f54bf87f7,mo:00b5d4c8547547119199a0fe9b70c52e
ro:2a1c4b3b39b54ee293fb4cde5a4ff5b2,mo:00b87833d90f4b89b781455890ad6f23
ro:0c09880803384477948f95e098ec9f73,mo:00c274bf57714a9a984fe85d0f8aeb43
