parent_id,child_id
fn:bb1e3cdd59f64ddbae97679d7ac94781,fn:d7aae1dab7d54b47b2fec5bc2671d347
fn:bb1e3cdd59f64ddbae97679d7ac94781,fn:4265edb6257a4e848ae1b8c567a874bc
fn:b4133f6990ab4cf698e4dd2332c8b449,fn:d69337b676034b67a83dac70c0475587
fn:b4133f6990ab4cf698e4dd2332c8b449,fn:df07670d7eba4be688828de0d3e5b1c3
fn:98905de2bef140d2bb3191f2cf8c0669,fn:df352e22dbfe470080378bdd53216fff
fn:98905de2bef140d2bb3191f2cf8c0669,fn:1b9944d9e8cc4a98b1d64c49a950d17e
fn:fd58ed4154c444f293edea2ed5138ebb,fn:627dee63593b4e76b0883845d1e2ddd4
fn:fd58ed4154c444f293edea2ed5138ebb,fn:4f74186d0a3442f49db155ebae0bf012
fn:46a4a3f18bc145acba9606e30356fc8b,fn:488f5ed545bb42588145a2fc62ff4d7d
fn:46a4a3f18bc145acba9606e30356fc8b,fn:e8125e2807ef4b739eed1256b271133f
fn:28f70c2a6d624eb3aaa01a8a74338a74,fn:601a83fb978e4dd4b4c086686ea85e1b
fn:28f70c2a6d624eb3aaa01a8a74338a74,fn:546221a557184ca0aa99d9e730c342cf
fn:af1d71c925a842798c33d45f42ee314d,fn:4ddc9db0ad204fb9ab80d79a2e3911f0
fn:af1d71c925a842798c33d45f42ee314d,fn:0f155b86beec4989aa4ba1b696c0cc46
fn:5466f58448e344ec80e61e5311eff6ee,fn:cc5f7c79bd73487c86973eaa96936926
fn:5466f58448e344ec80e61e5311eff6ee,fn:1fd851ac9bef4e218306f67cfac899be
fn:c0626110b6ee47bb997274ff3fd204fe,fn:51233ef237844db0bb85b7608bcbbf8c
fn:c0626110b6ee47bb997274ff3fd204fe,fn:742ddc45942d4425a89d2ba24464e1ef
fn:c72a9a360db840199641c171eedbfd56,fn:1b9e9a03d3b74d36b9f67dc00054be0e
fn:c72a9a360db840199641c171eedbfd56,fn:1d695a50f647418984b3d3b75293f5b4
fn:76d8e31177e6439b952a84f8f84548cc,fn:c900f685f157477784d7528e3ccf0e29
fn:76d8e31177e6439b952a84f8f84548cc,fn:d4cd2a26e28c41f7a5b2946fefb93817
fn:18883447161d4fffbaad4874951d8716,fn:5ff76edb73c04ceab3c78e8505fe25e9
fn:18883447161d4fffbaad4874951d8716,fn:4a9d80b63c9241f09e26ff2f7221f4a2
fn:bb9c3feb8cec40069a9c67a6b218b4cf,fn:55871d1fa9534b3d89dc60f9dd50ca0c
fn:bb9c3feb8cec40069a9c67a6b218b4cf,fn:beb38b9586ce48af97573a65c469a071
fn:84e9cbf9370b470aafa306535ee05a0e,fn:23b8a7fc9c52458aa1fffb69c19ae27e
fn:84e9cbf9370b470aafa306535ee05a0e,fn:bdd4471c657e4a12a41e41beabfb8c35
fn:4ef97f01155044b6a9cfc90b9ba1d1e2,fn:92c9d5d748d04d979644bb821c6a5e46
fn:4ef97f01155044b6a9cfc90b9ba1d1e2,fn:f854b77998434b0fa4fd8d5e57c0c80e
fn:b2f5a9137a694975811894952e223466,fn:02d78def699b4121b5a6d7fcf46c4ce2
fn:b2f5a9137a694975811894952e223466,fn:fe1507b9d56e411aa9069b5c405007f0
fn:5fd8e6a34f554f7689930cbe55db0973,fn:19b6c9966b084c40ab18da1acbf6c3db
